Timestamp[nanosec],fx[px],fy[px],Frame No.,Exposure time[nanosec],Sensor frame duration[nanosec],Frame readout time[nanosec],ISO,Focal length,Focus distance,AF mode
5049648808266,2836.0657,2836.0657,45393,2898550,33333333,11896875,65,6.92,0.5117707,1
5049682102953,2836.0657,2836.0657,45394,2898550,33333333,11896875,65,6.92,0.5117707,1
5049715397693,2836.0657,2836.0657,45395,2898550,33333333,11896875,65,6.92,0.5117707,1
5049748692432,2836.0657,2836.0657,45396,2898550,33333333,11896875,65,6.92,0.5117707,1
5049781987172,2836.0657,2836.0657,45397,2898550,33333333,11896875,65,6.92,0.5117707,1
5049815281859,2836.0657,2836.0657,45398,2898550,33333333,11896875,65,6.92,0.5117707,1
5049848576599,2836.0657,2836.0657,45399,2898550,33333333,11896875,65,6.92,0.5117707,1
5049881871339,2836.0657,2836.0657,45400,2898550,33333333,11896875,65,6.92,0.5117707,1
5049915166078,2836.0657,2836.0657,45401,2898550,33333333,11896875,65,6.92,0.5117707,1
5049948460766,2836.0657,2836.0657,45402,2898550,33333333,11896875,65,6.92,0.5117707,1
5049981755505,2836.0657,2836.0657,45403,2898550,33333333,11896875,65,6.92,0.5117707,1
5050015050245,2836.0657,2836.0657,45404,2898550,33333333,11896875,65,6.92,0.5117707,1
5050048344984,2836.0657,2836.0657,45405,2898550,33333333,11896875,65,6.92,0.5117707,1
5050081639672,2836.0657,2836.0657,45406,2898550,33333333,11896875,65,6.92,0.5117707,1
5050114934411,2836.0657,2836.0657,45407,2898550,33333333,11896875,65,6.92,0.5117707,1
5050148229151,2836.0657,2836.0657,45408,2898550,33333333,11896875,65,6.92,0.5117707,1
5050181523891,2836.0657,2836.0657,45409,2898550,33333333,11896875,65,6.92,0.5117707,1
5050214818578,2836.0657,2836.0657,45410,2898550,33333333,11896875,65,6.92,0.5117707,1
5050248113318,2836.0657,2836.0657,45411,2898550,33333333,11896875,65,6.92,0.5117707,1
5050281408057,2836.0657,2836.0657,45412,2898550,33333333,11896875,65,6.92,0.5117707,1
5050314702797,2836.0657,2836.0657,45413,2898550,33333333,11896875,65,6.92,0.5117707,1
