Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
5042910986302,0.042836893,-0.008475749,-0.008781182,0.4334,9.529117,0.14386846
5042913522656,0.021151192,-0.009086614,-0.0075594517,0.45732823,9.603294,0.12472588
5042916058959,0.0013744457,-0.0066431547,-0.013057235,0.48125646,9.643972,0.14626129
5042918595313,-0.017180571,-0.00481056,-0.019776747,0.51236314,9.742078,0.35443684
5042921131667,-0.030161448,-0.0029779659,-0.025885396,0.51236314,9.742078,0.35443684
5042923667969,-0.03940078,-0.002367101,-0.033826638,0.46929234,9.787542,0.4645067
5042926204323,-0.043142326,-0.0035888306,-0.039935283,0.46929234,9.787542,0.4645067
5042928740677,-0.04619665,-0.00481056,-0.047265664,0.33050862,9.926326,0.8138588
5042931277031,-0.045585785,-0.0029779659,-0.052763447,0.2515455,9.9909315,0.92632145
5042933813386,-0.043753188,-5.345067E-4,-0.055206906,0.20368902,10.050753,1.0507482
5042936349688,-0.036346454,0.0043524117,-0.058872093,0.20368902,10.050753,1.0507482
5042938886042,-0.028939718,0.0080176005,-0.06253728,0.1486541,10.096216,1.1368898
5042941422396,-0.019013166,0.014737112,-0.0655916,0.09361918,10.170394,1.1823535
5042943958698,-0.0060322895,0.02328922,-0.069867656,0.09601201,10.254143,1.1919248
5042946495052,0.0075594517,0.031841327,-0.07475458,0.09601201,10.254143,1.1919248
5042949031406,0.020540329,0.03978257,-0.07658717,0.064905316,10.287642,1.1249257
5042951567761,0.029245151,0.050778136,-0.07841977,0.021834506,10.301999,1.0555339
5042954104115,0.03848448,0.062384564,-0.08025236,-0.016450657,10.325927,0.9693923
5042956640417,0.044669487,0.07093667,-0.07841977,-0.07866404,10.297214,0.74207413
5042959176771,0.05146536,0.07765619,-0.077198036,-0.07866404,10.297214,0.74207413
5042961713073,0.0570395,0.08498656,-0.072921984,-0.10737792,10.211072,0.6056832
5042964249427,0.06444623,0.08987348,-0.068035066,-0.10737792,10.211072,0.6056832
5042966785781,0.07131846,0.09598213,-0.061926417,-0.08584251,10.189536,0.5769694
5042969322136,0.07498365,0.099036455,-0.055817768,-0.059521463,10.1033945,0.4956134
5042971858490,0.08239039,0.10270164,-0.051541716,0.019441685,10.077073,0.46929234
5042974394792,0.08796453,0.106977694,-0.047265664,0.019441685,10.077073,0.46929234
5042976931146,0.092927806,0.11247548,-0.046043932,0.019441685,10.077073,0.46929234
5042979467500,0.09850194,0.11614066,-0.04176788,0.024227329,10.043574,0.4214359
5042982003802,0.099723674,0.12041672,-0.039935283,0.04336991,9.983753,0.392722
5042984540156,0.10033454,0.123471044,-0.03810269,0.04336991,9.983753,0.392722
5042987076511,0.099723674,0.1259145,-0.036880963,0.08883354,9.95504,0.36640096
5042989612865,0.099723674,0.12896882,-0.032604907,0.112761766,9.900004,0.40468612
5042992149167,0.09850194,0.1295797,-0.028939718,0.112761766,9.900004,0.40468612
5042994685521,0.09911281,0.13019055,-0.029550584,0.19172491,9.866505,0.4142574
5042997221875,0.09537126,0.13141228,-0.028328855,0.19172491,9.866505,0.4142574
5042999758229,0.09537126,0.13141228,-0.029550584,0.25872394,9.852148,0.4621139
5043002294531,0.09598213,0.13324489,-0.029550584,0.2970091,9.8473625,0.5051847
5043004830886,0.09353867,0.13019055,-0.029550584,0.31375888,9.835399,0.4668995
5043007367240,0.09109521,0.12408191,-0.027717989,0.35443684,9.854541,0.43818563
5043009903594,0.08918626,0.11797326,-0.030772313,0.37357944,9.856934,0.46929234
5043012439896,0.08613193,0.11308634,-0.032604907,0.37357944,9.856934,0.46929234
5043014976250,0.081779525,0.11003202,-0.034437504,0.39750767,9.859326,0.4860421
5043017512604,0.076816246,0.1051451,-0.036880963,0.3999005,9.883255,0.52193445
5043020048959,0.07750347,0.10025818,-0.039935283,0.40707895,9.911968,0.49800622
5043022585261,0.07437278,0.09659299,-0.045433067,0.42622152,9.931111,0.5027919
5043025121615,0.07131846,0.09353867,-0.05093085,0.42861435,9.969397,0.50039905
5043027657969,0.06818778,0.08926262,-0.058261227,0.42861435,9.974182,0.4429713
